video_uuid	video	frame_count	first_frame	last_frame	global_id
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	69	30	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:27
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	7	32	63	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:22
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	33	92	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:28
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	4	36	45	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:23
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	2	36	39	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:24
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	4	36	142	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:26
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	17	40	97	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:29
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	36	40	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:30
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	38	40	143	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:31
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	20	41	84	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:28
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	31	41	141	5e4d5371-e633-4cb1-8f4a-32119636e8a3:person:29
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	9	43	82	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:32
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	1	49	49	5e4d5371-e633-4cb1-8f4a-32119636e8a3:truck:28
5e4d5371-e633-4cb1-8f4a-32119636e8a3	example.mp4	12	54	82	5e4d5371-e633-4cb1-8f4a-32119636e8a3:car:33
