video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,167 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=29 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,250 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=30 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,333 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=31 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,419 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=32 detections=8
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,557 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=33 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,640 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=34 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,721 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=35 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,803 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=36 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,894 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=37 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:56,980 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=38 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,066 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=39 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,148 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=40 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,240 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=41 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,324 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=42 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,414 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=43 detections=6
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,533 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=44 detections=7
video-kafka-pipeline-frame-consumer-1  | 2026-05-24 12:52:57,626 INFO frame-consumer Published detections video_uuid=b4e5bd98-4edf-4779-ad14-8764484b1d2a sampled_frame_id=45 detections=7
